date,sales,onpromotion
2013-01-01,2511.619,0.0
2013-01-02,496092.4,0.0
2013-01-03,361461.22,0.0
2013-01-04,354459.7,0.0
2013-01-05,477350.12,0.0
2013-01-06,519695.4,0.0
2013-01-07,336122.8,0.0
2013-01-08,318347.78,0.0
2013-01-09,302530.8,0.0
2013-01-10,258982.0,0.0
2013-01-11,289737.7,0.0
2013-01-12,403258.22,0.0
2013-01-13,464638.56,0.0
2013-01-14,293348.38,0.0
2013-01-15,299129.56,0.0
2013-01-16,318347.9,0.0
2013-01-17,267498.53,0.0
2013-01-18,296130.84,0.0
2013-01-19,432459.84,0.0
2013-01-20,461092.38,0.0
2013-01-21,311211.28,0.0
2013-01-22,296214.72,0.0
2013-01-23,283258.44,0.0
2013-01-24,247245.69,0.0
2013-01-25,290022.78,0.0
2013-01-26,413799.78,0.0
2013-01-27,430412.0,0.0
2013-01-28,285460.16,0.0
2013-01-29,264488.8,0.0
2013-01-30,281061.12,0.0
2013-01-31,271254.22,0.0
2013-02-01,369402.06,0.0
2013-02-02,518887.47,0.0
2013-02-03,486336.8,0.0
2013-02-04,344308.72,0.0
2013-02-05,321245.84,0.0
2013-02-06,321538.2,0.0
2013-02-07,290807.53,0.0
2013-02-08,347441.78,0.0
2013-02-09,416176.28,0.0
2013-02-10,300951.34,0.0
2013-02-11,278627.6,0.0
2013-02-12,308800.78,0.0
2013-02-13,319597.94,0.0
2013-02-14,308164.03,0.0
2013-02-15,320168.88,0.0
2013-02-16,485660.5,0.0
2013-02-17,399588.9,0.0
2013-02-18,350745.56,0.0
2013-02-19,293637.8,0.0
2013-02-20,313803.16,0.0
2013-02-21,267711.1,0.0
2013-02-22,285679.88,0.0
2013-02-23,412897.34,0.0
2013-02-24,452726.12,0.0
2013-02-25,307110.88,0.0
2013-02-26,270425.0,0.0
2013-02-27,288402.0,0.0
2013-02-28,278116.28,0.0
2013-03-01,378898.16,0.0
2013-03-02,547857.2,0.0
2013-03-03,559820.56,0.0
2013-03-04,383647.7,0.0
2013-03-05,332190.0,0.0
2013-03-06,335726.6,0.0
2013-03-07,293099.53,0.0
2013-03-08,316600.7,0.0
2013-03-09,453259.5,0.0
2013-03-10,461859.75,0.0
2013-03-11,318379.12,0.0
2013-03-12,271823.38,0.0
2013-03-13,287869.66,0.0
2013-03-14,247541.42,0.0
2013-03-15,315878.1,0.0
2013-03-16,482233.44,0.0
2013-03-17,513439.6,0.0
2013-03-18,330283.8,0.0
2013-03-19,294020.25,0.0
2013-03-20,321207.0,0.0
2013-03-21,269130.12,0.0
2013-03-22,304100.47,0.0
2013-03-23,453192.0,0.0
2013-03-24,449794.62,0.0
2013-03-25,317559.62,0.0
2013-03-26,275818.25,0.0
2013-03-27,313691.16,0.0
2013-03-28,339293.28,0.0
2013-03-29,345513.12,0.0
2013-03-30,452661.34,0.0
2013-03-31,462107.62,0.0
2013-04-01,428816.44,0.0
2013-04-02,377732.8,0.0
2013-04-03,373731.06,0.0
2013-04-04,308738.38,0.0
2013-04-05,336394.78,0.0
2013-04-06,509424.22,0.0
2013-04-07,519048.38,0.0
2013-04-08,346649.8,0.0
2013-04-09,306335.8,0.0
2013-04-10,312846.38,0.0
2013-04-11,303223.4,0.0
2013-04-12,314394.97,0.0
2013-04-13,453442.5,0.0
2013-04-14,478417.16,0.0
2013-04-15,338712.47,0.0
2013-04-16,333431.88,0.0
2013-04-17,334990.53,0.0
2013-04-18,281924.5,0.0
2013-04-19,311588.72,0.0
2013-04-20,459884.84,0.0
2013-04-21,485721.03,0.0
2013-04-22,328886.3,0.0
2013-04-23,302097.84,0.0
2013-04-24,310555.2,0.0
2013-04-25,268790.62,0.0
2013-04-26,304413.56,0.0
2013-04-27,446665.34,0.0
2013-04-28,477623.47,0.0
2013-04-29,328795.88,0.0
2013-04-30,310186.47,0.0
2013-05-01,507974.62,0.0
2013-05-02,348709.47,0.0
2013-05-03,374291.25,0.0
2013-05-04,520339.53,0.0
2013-05-05,580268.56,0.0
2013-05-06,369869.38,0.0
2013-05-07,317292.97,0.0
2013-05-08,332477.4,0.0
2013-05-09,305868.06,0.0
2013-05-10,335937.44,0.0
2013-05-11,512090.6,0.0
2013-05-12,387860.5,0.0
2013-05-13,350598.06,0.0
2013-05-14,308469.3,0.0
2013-05-15,329113.56,0.0
2013-05-16,307556.94,0.0
2013-05-17,330004.25,0.0
2013-05-18,480969.56,0.0
2013-05-19,518153.56,0.0
2013-05-20,341787.22,0.0
2013-05-21,307178.4,0.0
2013-05-22,301785.47,0.0
2013-05-23,289261.06,0.0
2013-05-24,398389.25,0.0
2013-05-25,417930.16,0.0
2013-05-26,450631.4,0.0
2013-05-27,321630.84,0.0
2013-05-28,307329.16,0.0
2013-05-29,309333.38,0.0
2013-05-30,304344.84,0.0
2013-05-31,330257.84,0.0
2013-06-01,566901.8,0.0
2013-06-02,637698.5,0.0
2013-06-03,426332.1,0.0
2013-06-04,369705.16,0.0
2013-06-05,361791.1,0.0
2013-06-06,317496.78,0.0
2013-06-07,357673.1,0.0
2013-06-08,466292.7,0.0
2013-06-09,526804.75,0.0
2013-06-10,349754.28,0.0
2013-06-11,283858.22,0.0
2013-06-12,320173.56,0.0
2013-06-13,282886.9,0.0
2013-06-14,326956.75,0.0
2013-06-15,505950.66,0.0
2013-06-16,435894.1,0.0
2013-06-17,370944.28,0.0
2013-06-18,320885.34,0.0
2013-06-19,319235.25,0.0
2013-06-20,293877.94,0.0
2013-06-21,319722.7,0.0
2013-06-22,446347.3,0.0
2013-06-23,504964.84,0.0
2013-06-24,336631.97,0.0
2013-06-25,305119.53,0.0
2013-06-26,301847.25,0.0
2013-06-27,266525.47,0.0
2013-06-28,324210.97,0.0
2013-06-29,509379.1,0.0
2013-06-30,533481.7,0.0
2013-07-01,441758.38,0.0
2013-07-02,390958.38,0.0
2013-07-03,374551.9,0.0
2013-07-04,327020.2,0.0
2013-07-05,351401.5,0.0
2013-07-06,479514.5,0.0
2013-07-07,500606.06,0.0
2013-07-08,365453.0,0.0
2013-07-09,317279.16,0.0
2013-07-10,314134.88,0.0
2013-07-11,281750.94,0.0
2013-07-12,308786.44,0.0
2013-07-13,432569.1,0.0
2013-07-14,438722.4,0.0
2013-07-15,348803.06,0.0
2013-07-16,335516.22,0.0
2013-07-17,324313.8,0.0
2013-07-18,287074.88,0.0
2013-07-19,313332.56,0.0
2013-07-20,435497.72,0.0
2013-07-21,437952.62,0.0
2013-07-22,342802.3,0.0
2013-07-23,316257.47,0.0
2013-07-24,309243.78,0.0
2013-07-25,298074.22,0.0
2013-07-26,318745.7,0.0
2013-07-27,423890.5,0.0
2013-07-28,433358.66,0.0
2013-07-29,331493.28,0.0
2013-07-30,318554.0,0.0
2013-07-31,357982.97,0.0
2013-08-01,397555.3,0.0
2013-08-02,393831.12,0.0
2013-08-03,516956.84,0.0
2013-08-04,514267.28,0.0
2013-08-05,407033.8,0.0
2013-08-06,357263.84,0.0
2013-08-07,351302.12,0.0
2013-08-08,310953.03,0.0
2013-08-09,337521.66,0.0
2013-08-10,434184.94,0.0
2013-08-11,434720.3,0.0
2013-08-12,349539.22,0.0
2013-08-13,317103.34,0.0
2013-08-14,324377.38,0.0
2013-08-15,311043.2,0.0
2013-08-16,364487.3,0.0
2013-08-17,448835.3,0.0
2013-08-18,464053.78,0.0
2013-08-19,362085.53,0.0
2013-08-20,343046.12,0.0
2013-08-21,335724.66,0.0
2013-08-22,306473.25,0.0
2013-08-23,331906.38,0.0
2013-08-24,420576.16,0.0
2013-08-25,443694.1,0.0
2013-08-26,347159.66,0.0
2013-08-27,319688.22,0.0
2013-08-28,319322.06,0.0
2013-08-29,294518.7,0.0
2013-08-30,354932.94,0.0
2013-08-31,523631.38,0.0
2013-09-01,640406.25,0.0
2013-09-02,458792.97,0.0
2013-09-03,397680.4,0.0
2013-09-04,392565.5,0.0
2013-09-05,330622.78,0.0
2013-09-06,335442.25,0.0
2013-09-07,518584.25,0.0
2013-09-08,560852.0,0.0
2013-09-09,377151.72,0.0
2013-09-10,308074.47,0.0
2013-09-11,323124.62,0.0
2013-09-12,282855.72,0.0
2013-09-13,319556.94,0.0
2013-09-14,476364.0,0.0
2013-09-15,532852.94,0.0
2013-09-16,373229.84,0.0
2013-09-17,327282.94,0.0
2013-09-18,315687.72,0.0
2013-09-19,279580.38,0.0
2013-09-20,331846.9,0.0
2013-09-21,468298.38,0.0
2013-09-22,502068.7,0.0
2013-09-23,356043.03,0.0
2013-09-24,303333.4,0.0
2013-09-25,312490.1,0.0
2013-09-26,273057.88,0.0
2013-09-27,320246.56,0.0
2013-09-28,484903.7,0.0
2013-09-29,522868.44,0.0
2013-09-30,367068.44,0.0
2013-10-01,436441.03,0.0
2013-10-02,414455.66,0.0
2013-10-03,348933.25,0.0
2013-10-04,378109.97,0.0
2013-10-05,540156.6,0.0
2013-10-06,553031.44,0.0
2013-10-07,373387.1,0.0
2013-10-08,326726.72,0.0
2013-10-09,322529.4,0.0
2013-10-10,305047.1,0.0
